CustomerID,Gender,Age,Annual_Income,Spending_Score
1,Male,49,91213,39
2,Female,56,45746,53
3,Male,66,64377,42
4,Male,69,69045,58
5,Male,49,112888,39
6,Female,21,122455,14
7,Male,47,108179,95
8,Male,54,60714,5
9,Male,40,117946,35
10,Female,56,124616,87
11,Male,62,120983,93
12,Male,32,139123,75
13,Male,60,58484,18
14,Male,46,97989,76
15,Female,53,51212,9
16,Male,30,58525,74
17,Female,49,78208,58
18,Female,24,48828,17
19,Female,68,18420,7
20,Male,39,111752,46
21,Female,45,146373,13
22,Male,19,130294,40
23,Female,59,139019,42
24,Female,62,80726,9
25,Female,23,130668,50
26,Female,45,21102,27
27,Female,45,133015,66
28,Female,61,41641,5
29,Female,61,118746,29
30,Female,37,51631,37
31,Male,47,87991,38
32,Male,28,19014,83
33,Female,45,26093,8
34,Female,42,33070,65
35,Female,56,50777,86
36,Male,50,71958,17
37,Female,18,97074,71
38,Male,44,25729,89
39,Male,69,120864,45
40,Male,30,145858,4
41,Male,58,120510,36
42,Male,20,69748,70
43,Female,56,20801,31
44,Female,23,44592,19
45,Female,25,25647,61
46,Female,44,125627,54
47,Female,26,85316,39
48,Male,54,17368,91
49,Female,50,92575,74
50,Female,68,21655,90
51,Male,59,85031,19
52,Female,61,102922,39
53,Male,41,139046,67
54,Female,32,47097,45
55,Male,49,139862,13
56,Female,49,133834,92
57,Female,41,108848,58
58,Male,58,67921,20
59,Male,69,141141,92
60,Male,66,37677,72
61,Male,66,70609,61
62,Male,69,46024,39
63,Male,29,85313,1
64,Male,56,142813,3
65,Male,19,110285,77
66,Female,20,128632,92
67,Female,66,18051,62
68,Male,54,129692,63
69,Female,66,102235,25
70,Female,34,88523,56
71,Female,66,109476,33
72,Female,19,32019,38
73,Male,19,98613,6
74,Female,45,101672,58
75,Male,40,88847,44
76,Female,54,97750,45
77,Female,49,43251,32
78,Female,50,118481,45
79,Male,18,127566,61
80,Female,36,40945,47
81,Male,19,105852,21
82,Female,61,47217,80
83,Male,43,23308,85
84,Female,49,20949,75
85,Male,23,147222,36
86,Male,49,115235,99
87,Female,21,89740,19
88,Male,28,131352,20
89,Female,34,81617,57
90,Female,55,31896,18
91,Female,41,145798,47
92,Female,22,20237,49
93,Female,69,35056,14
94,Female,51,129548,15
95,Female,23,126488,31
96,Female,39,149415,1
97,Female,28,44375,54
98,Female,65,31964,3
99,Female,33,128429,16
100,Male,50,82215,87
101,Male,26,84042,57
102,Female,23,108468,75
103,Female,33,24435,12
104,Female,46,93832,74
105,Female,20,66293,96
106,Female,37,93781,16
107,Female,53,58919,72
108,Female,36,136172,76
109,Female,43,109758,24
110,Male,20,71573,28
111,Female,36,74101,8
112,Male,37,41646,92
113,Female,49,119185,36
114,Female,24,38049,90
115,Male,69,113116,8
116,Female,58,112379,58
117,Male,50,83385,60
118,Female,57,141131,50
119,Female,56,38289,28
120,Male,35,125226,92
121,Female,57,115793,41
122,Male,18,24823,64
123,Female,28,56975,27
124,Male,45,24540,63
125,Male,42,31364,17
126,Female,67,42663,73
127,Female,40,66991,33
128,Male,48,119182,84
129,Female,47,109704,77
130,Female,59,64115,92
131,Female,52,106007,29
132,Male,24,26938,13
133,Male,33,106680,46
134,Male,43,19000,35
135,Male,65,116042,6
136,Male,69,108610,82
137,Male,66,118691,69
138,Male,19,53304,47
139,Male,18,84449,25
140,Male,65,97986,66
141,Female,29,123940,10
142,Male,22,53494,56
143,Female,54,18373,30
144,Female,49,112532,5
145,Female,26,107658,33
146,Male,58,138633,65
147,Male,52,115386,18
148,Male,36,42350,96
149,Male,65,108008,49
150,Female,33,109297,11
151,Male,20,40351,85
152,Male,37,103668,26
153,Male,41,129585,63
154,Male,50,90353,89
155,Male,41,80953,86
156,Female,69,72458,59
157,Male,28,35358,27
158,Female,66,18267,49
159,Male,25,97745,77
160,Female,53,104588,33
161,Male,55,53513,98
162,Male,57,26338,99
163,Female,37,146484,1
164,Female,52,22543,21
165,Female,65,120891,55
166,Male,42,75692,6
167,Female,52,59425,92
168,Male,42,53756,81
169,Male,46,33888,69
170,Female,35,62295,95
171,Female,63,129352,5
172,Male,35,98042,3
173,Male,19,100999,53
174,Female,52,32955,23
175,Female,33,52841,53
176,Female,58,85640,37
177,Male,53,76476,74
178,Male,50,59811,74
179,Male,21,86180,83
180,Male,50,127856,17
181,Male,31,83450,85
182,Male,38,126888,78
183,Female,65,125448,73
184,Male,37,29397,1
185,Male,25,146800,51
186,Male,24,134180,45
187,Female,20,81234,77
188,Male,34,54954,4
189,Male,50,94459,62
190,Female,65,74163,65
191,Male,29,66934,32
192,Male,68,69098,34
193,Male,39,20486,92
194,Male,39,101900,95
195,Male,63,141020,72
196,Female,47,117795,39
197,Female,55,102508,26
198,Female,55,133324,34
199,Male,62,75566,54
200,Male,68,42192,3
